A,B,C,D,E,F
13,15,6,14,45,0
63,14,10,15,42,1
26,0,23,6,69,0
23,8,36,3,78,0
38,6,9,8,63,0
60,7,44,9,60,1
77,18,34,24,15,1
58,9,10,12,51,0
63,15,8,7,66,1
11,16,9,2,81,0
95,19,4,4,75,1
51,10,10,4,75,0
33,9,20,7,66,0
77,5,19,26,9,1
17,10,9,28,3,0
0,6,23,29,0,0
2,18,13,4,75,0
99,1,20,17,36,1
37,19,9,25,12,0
50,10,14,28,3,0
32,1,8,25,12,0
0,19,22,23,18,0
96,11,4,2,81,1
49,14,20,8,63,1
79,11,32,19,30,1
81,10,25,22,21,1
95,12,43,24,15,1
58,10,34,24,15,1
91,9,37,17,36,1
84,11,29,28,3,1
31,12,13,16,39,0
48,9,38,13,48,1
46,15,37,19,30,1
31,7,31,0,87,0
57,16,6,10,57,0
59,0,26,24,15,0
73,18,28,25,12,1
86,0,46,16,39,1
26,9,42,2,81,1
72,3,40,11,54,1
29,19,8,27,6,0
81,1,31,4,75,1
96,12,33,24,15,1
67,3,14,3,78,0
54,15,40,5,72,1
26,13,49,17,36,1
71,6,42,7,66,1
35,10,23,1,84,0
29,15,49,0,87,1
23,0,45,10,57,0
59,17,41,4,75,1
39,6,21,29,0,0
0,13,10,3,78,0
88,16,36,0,87,1
41,1,38,2,81,0
72,0,26,17,36,0
64,5,37,9,60,1
70,17,43,2,81,1
32,12,22,5,72,0
7,14,31,21,24,0
3,18,15,6,69,0
18,5,1,20,27,0
89,18,28,2,81,1
53,15,45,19,30,1
15,15,24,13,48,0
87,3,22,15,42,1
68,18,26,23,18,1
82,12,15,15,42,1
52,4,5,6,69,0
93,16,20,5,72,1
44,12,46,21,24,1
82,11,32,0,87,1
34,9,10,28,3,0
19,12,40,16,39,0
87,1,38,20,27,1
46,8,6,14,45,0
49,2,20,8,63,0
16,5,32,4,75,0
88,16,40,8,63,1
61,15,18,29,0,1
59,12,6,1,84,0
48,11,11,5,72,0
82,14,17,29,0,1
25,18,2,10,57,0
16,7,37,21,24,0
80,12,29,22,21,1
77,12,10,0,87,1
92,2,16,6,69,1
58,19,13,28,3,1
87,12,19,12,51,1
86,1,37,21,24,1
58,18,19,29,0,1
40,17,15,6,69,0
74,7,24,4,75,1
16,11,49,5,72,1
90,15,19,17,36,1
75,4,34,5,72,1
79,12,29,21,24,1
95,1,4,23,18,0
93,4,4,18,33,0
77,2,38,29,0,1
13,15,30,12,51,0
22,4,30,21,24,0
71,16,36,18,33,1
12,11,1,7,66,0
36,12,3,17,36,0
86,15,16,27,6,1
1,9,39,29,0,0
78,0,35,8,63,1
99,2,34,5,72,1
95,1,39,12,51,1
72,2,5,14,45,0
54,2,48,23,18,1
80,18,15,12,51,1
51,13,34,10,57,1
79,2,26,24,15,1
70,5,26,0,87,1
89,18,35,25,12,1
58,3,48,15,42,1
49,16,30,23,18,1
7,11,17,25,12,0
8,3,24,11,54,0
25,12,34,28,3,0
75,3,32,5,72,1
5,17,30,7,66,0
15,4,7,5,72,0
0,0,41,12,51,0
58,12,33,1,84,1
21,17,32,12,51,1
28,16,31,19,30,1
3,10,14,16,39,0
30,14,42,9,60,1
21,17,1,14,45,0
36,7,20,4,75,0
0,2,0,7,66,0
55,11,29,20,27,1
70,5,48,26,9,1
75,3,36,13,48,1
5,7,48,1,84,0
86,8,22,1,84,1
85,0,37,17,36,1
65,15,19,9,60,1
29,8,16,22,21,0
47,7,5,27,6,0
1,11,40,9,60,0
38,11,41,27,6,1
10,16,41,11,54,1
99,8,24,11,54,1
78,0,0,19,30,0
12,9,48,18,33,0
74,2,23,5,72,0
61,14,36,10,57,1
79,3,43,5,72,1
26,1,18,19,30,0
66,11,24,2,81,1
23,17,46,7,66,1
62,7,18,1,84,0
25,3,39,0,87,0
55,7,48,19,30,1
5,2,28,28,3,0
23,5,16,8,63,0
92,5,23,1,84,1
0,16,2,19,30,0
82,0,36,28,3,1
2,1,9,14,45,0
97,3,2,10,57,0
57,10,6,16,39,0
92,11,33,24,15,1
43,6,28,8,63,0
44,6,20,19,30,0
13,5,11,8,63,0
40,8,46,10,57,1
54,15,8,17,36,0
30,16,28,13,48,1
18,16,6,10,57,0
49,6,3,2,81,0
52,3,41,13,48,1
64,13,23,11,54,1
16,10,35,1,84,0
52,3,40,27,6,1
78,9,25,25,12,1
70,13,11,0,87,1
36,3,35,13,48,0
29,14,48,3,78,1
4,4,28,17,36,0
93,17,17,6,69,1
50,2,31,26,9,0
17,15,9,0,87,0
4,1,21,25,12,0
20,10,40,25,12,0
60,19,13,0,87,1
50,1,33,10,57,0
53,14,4,4,75,0
25,12,37,3,78,1
32,11,15,13,48,0
76,17,39,25,12,1
35,7,4,5,72,0
11,17,28,22,21,0
44,13,14,10,57,0
1,4,0,13,48,0
52,19,30,4,75,1
5,6,23,13,48,0
22,10,4,10,57,0
74,9,27,16,39,1
64,15,34,14,45,1
66,8,10,8,63,0
41,1,2,11,54,0
46,14,24,20,27,1
84,8,47,18,33,1
89,7,41,28,3,1
10,7,38,23,18,0
46,11,19,15,42,0
29,5,12,15,42,0
94,15,4,5,72,1
70,17,49,8,63,1
23,16,20,14,45,0
77,11,26,5,72,1
2,10,39,13,48,0
89,2,18,11,54,1
24,9,8,18,33,0
34,13,47,13,48,1
97,1,37,24,15,1
57,5,20,9,60,0
32,7,47,27,6,1
46,17,18,28,3,1
90,0,16,8,63,0
51,9,30,29,0,1
91,1,1,29,0,0
15,3,20,15,42,0
60,6,23,23,18,0
68,10,33,20,27,1
48,6,3,18,33,0
30,17,22,20,27,0
18,7,2,11,54,0
85,15,7,29,0,1
15,14,34,11,54,0
14,19,38,2,81,1
6,3,34,7,66,0
17,2,46,2,81,0
26,12,21,21,24,0
29,6,41,8,63,0
80,5,6,3,78,0
69,7,42,4,75,1
57,11,18,20,27,1
35,4,23,16,39,0
93,4,47,2,81,1
41,0,44,13,48,0
49,2,46,23,18,1
13,15,0,6,69,0
34,10,31,27,6,0
12,12,8,1,84,0
83,13,12,12,51,1
69,13,21,6,69,1
36,4,38,17,36,0
5,11,35,6,69,0
98,19,5,14,45,1
90,2,48,10,57,1
38,10,37,11,54,1
0,6,45,0,87,0
83,7,8,5,72,1
2,1,5,21,24,0
24,16,9,3,78,0
37,0,9,11,54,0
53,17,19,21,24,1
5,1,45,23,18,0
30,15,38,7,66,1
88,8,8,9,60,1
70,16,29,15,42,1
85,3,15,15,42,1
62,2,39,27,6,1
35,18,39,5,72,1
84,18,7,25,12,1
11,15,19,13,48,0
6,9,24,24,15,0
6,19,44,27,6,1
14,12,31,18,33,0
14,16,26,25,12,0
25,15,30,21,24,0
59,9,31,17,36,1
8,7,17,0,87,0
37,10,30,20,27,0
52,8,2,10,57,0
0,0,27,8,63,0
41,13,49,28,3,1
18,12,15,27,6,0
25,17,43,12,51,1
47,3,29,20,27,0
79,5,38,1,84,1
48,11,21,6,69,0
56,16,39,19,30,1
23,8,22,14,45,0
88,9,0,7,66,0
1,14,23,21,24,0
43,14,44,23,18,1
18,17,16,5,72,0
43,15,25,14,45,1
49,17,2,18,33,0
86,12,6,20,27,1
78,8,23,3,78,1
54,15,32,25,12,1
1,5,32,4,75,0
79,8,14,18,33,1
38,5,11,6,69,0
81,13,46,26,9,1
64,4,42,23,18,1
17,18,45,10,57,1
82,3,12,28,3,0
14,7,24,6,69,0
26,5,0,13,48,0
50,1,15,2,81,0
6,19,35,23,18,1
85,11,25,21,24,1
20,7,14,18,33,0
36,19,36,23,18,1
47,12,33,4,75,1
50,5,15,12,51,0
43,10,7,8,63,0
19,0,46,8,63,0
5,19,0,9,60,0
12,3,46,3,78,0
77,17,27,29,0,1
75,16,41,12,51,1
99,5,12,27,6,1
23,8,4,3,78,0
43,3,28,6,69,0
24,2,16,16,39,0
66,8,31,24,15,1
86,1,4,9,60,0
53,7,4,21,24,0
11,12,5,15,42,0
26,3,27,28,3,0
78,14,4,23,18,1
16,13,27,13,48,0
27,0,39,29,0,0
44,1,49,7,66,1
38,5,29,13,48,0
86,0,26,5,72,1
78,2,37,26,9,1
0,11,5,9,60,0
12,16,27,18,33,0
3,2,33,13,48,0
68,12,43,28,3,1
58,3,24,19,30,0
19,14,15,11,54,0
15,0,27,23,18,0
10,1,26,2,81,0
76,11,27,5,72,1
62,2,21,16,39,0
64,0,28,28,3,0
81,3,22,1,84,1
16,13,45,7,66,1
82,12,13,7,66,1
33,19,29,22,21,1
86,6,28,28,3,1
69,4,19,16,39,0
54,13,44,29,0,1
69,15,21,17,36,1
75,19,16,2,81,1
89,19,32,7,66,1
32,6,32,1,84,0
79,11,48,0,87,1
93,6,13,6,69,1
88,18,1,6,69,1
30,1,8,13,48,0
97,8,45,5,72,1
43,0,35,28,3,0
79,19,5,2,81,1
89,6,23,19,30,1
29,19,25,9,60,1
61,3,16,2,81,0
79,13,42,24,15,1
64,3,42,0,87,1
8,12,45,13,48,0
25,19,2,25,12,0
70,12,0,10,57,0
17,0,37,0,87,0
63,3,6,25,12,0
10,13,6,19,30,0
93,1,6,25,12,0
54,16,40,16,39,1
73,10,35,22,21,1
20,6,12,13,48,0
22,9,34,0,87,0
0,16,26,24,15,0
56,0,48,14,45,1
18,5,24,16,39,0
73,4,12,7,66,0
68,3,19,3,78,0
68,12,42,10,57,1
1,18,7,16,39,0
44,12,24,26,9,1
35,11,44,21,24,1
55,14,42,14,45,1
4,7,42,27,6,0
16,12,31,22,21,0
94,14,19,25,12,1
46,5,12,21,24,0
63,7,36,29,0,1
27,5,32,1,84,0
25,15,30,3,78,0
36,15,16,15,42,0
57,4,5,13,48,0
34,10,45,20,27,1
11,1,26,4,75,0
65,17,41,1,84,1
80,15,1,5,72,1
23,0,48,8,63,0
95,14,36,18,33,1
33,1,18,10,57,0
73,8,48,19,30,1
14,4,1,2,81,0
52,9,18,2,81,0
31,2,42,28,3,0
80,0,21,23,18,0
70,16,29,9,60,1
85,10,6,14,45,1
81,9,5,14,45,1
99,14,32,5,72,1
6,7,14,19,30,0
8,19,24,12,51,0
71,8,2,10,57,0
20,13,25,11,54,0
41,19,6,23,18,0
89,8,19,4,75,1
3,9,39,21,24,0
83,0,19,7,66,0
15,13,14,10,57,0
33,16,36,22,21,1
57,19,28,23,18,1
16,19,16,7,66,0
90,8,32,24,15,1
2,16,8,5,72,0
32,13,28,5,72,0
26,7,27,24,15,0
89,14,27,1,84,1
41,11,49,27,6,1
19,6,18,19,30,0
38,10,34,26,9,1
18,4,1,14,45,0
2,2,47,1,84,0
11,5,24,25,12,0
92,16,6,24,15,1
37,12,29,27,6,1
2,9,21,1,84,0
19,1,3,29,0,0
66,12,27,6,69,1
45,14,48,7,66,1
79,9,43,14,45,1
93,7,17,18,33,1
28,1,43,7,66,0
54,15,18,24,15,1
87,16,3,13,48,1
23,4,40,12,51,0
53,14,39,0,87,1
34,10,12,23,18,0
0,3,44,22,21,0
14,15,46,6,69,1
86,3,40,11,54,1
15,6,12,10,57,0
90,15,42,26,9,1
19,19,27,13,48,1
68,16,35,4,75,1
50,13,30,24,15,1
8,6,13,26,9,0
99,10,27,8,63,1
92,14,11,14,45,1
19,0,14,9,60,0
24,8,12,21,24,0
3,7,5,5,72,0
15,7,35,0,87,0
10,6,13,1,84,0
86,11,14,15,42,1
77,0,8,19,30,0
18,17,33,1,84,1
71,8,42,20,27,1
49,9,48,16,39,1
65,19,14,17,36,1
94,5,45,6,69,1
68,15,48,5,72,1
74,2,24,27,6,1
35,13,32,5,72,1
41,15,42,27,6,1
16,7,43,13,48,0
60,17,1,15,42,0
57,10,18,26,9,0
74,5,33,27,6,1
29,4,9,8,63,0
80,19,36,11,54,1
25,11,0,23,18,0
84,11,24,25,12,1
76,4,5,11,54,0
31,2,4,23,18,0
52,7,28,7,66,0
67,9,6,16,39,0
77,12,10,11,54,1
22,16,30,21,24,0
30,8,21,8,63,0
76,14,30,19,30,1
56,8,46,6,69,1
40,8,34,28,3,0
28,4,21,17,36,0
36,6,46,4,75,1
37,5,15,19,30,0
10,18,45,27,6,1
15,18,31,27,6,1
44,17,12,17,36,0
7,18,17,15,42,0
40,17,22,20,27,1
53,5,22,8,63,0
97,14,27,14,45,1
3,6,34,12,51,0
44,1,19,8,63,0
94,4,9,27,6,1
78,16,15,9,60,1
22,19,17,7,66,0
11,19,48,17,36,1
36,14,18,10,57,0
85,10,2,28,3,1
85,13,44,7,66,1
46,18,40,23,18,1
12,6,3,11,54,0
7,11,12,27,6,0
1,11,46,1,84,0
19,17,32,10,57,1
20,13,9,17,36,0
13,10,38,2,81,0
18,11,5,26,9,0
56,18,27,25,12,1
76,18,26,27,6,1
82,18,49,22,21,1
18,5,49,7,66,0
13,17,1,17,36,0
31,15,13,22,21,0
75,1,12,29,0,0
75,11,49,8,63,1
12,19,35,12,51,1
37,14,41,16,39,1
7,9,32,15,42,0
42,12,45,14,45,1
77,5,14,4,75,0
36,3,18,1,84,0
77,15,34,1,84,1
39,17,26,28,3,1
96,13,15,12,51,1
69,19,35,21,24,1
77,3,6,24,15,0
49,4,4,24,15,0
25,2,44,27,6,0
39,6,28,7,66,0
51,9,26,3,78,1
55,2,28,6,69,0
89,13,16,1,84,1
68,14,35,26,9,1
38,16,32,17,36,1
77,13,41,18,33,1
86,11,30,24,15,1
38,8,10,21,24,0
45,12,15,0,87,0
72,5,39,9,60,1
36,12,17,22,21,0
71,7,31,12,51,1
96,0,27,22,21,1
56,16,49,25,12,1
60,12,34,0,87,1
31,2,13,27,6,0
72,17,23,24,15,1
23,12,46,27,6,1
20,16,25,15,42,0
26,19,22,10,57,1
86,9,43,7,66,1
95,16,15,15,42,1
94,9,7,3,78,1
40,0,9,25,12,0
87,10,23,21,24,1
78,10,10,9,60,1
60,2,41,7,66,1
1,12,38,3,78,0
80,18,49,25,12,1
41,1,31,11,54,0
63,0,42,26,9,1
76,8,31,29,0,1
17,14,42,29,0,1
18,10,9,0,87,0
71,11,14,2,81,1
73,1,2,1,84,0
17,15,24,13,48,0
90,13,29,29,0,1
47,9,2,5,72,0
29,17,34,23,18,1
92,5,10,20,27,1
15,8,36,28,3,0
3,18,47,2,81,1
44,3,48,29,0,1
62,5,43,17,36,1
87,12,35,18,33,1
43,17,49,2,81,1
34,17,39,22,21,1
54,7,49,10,57,1
55,8,13,20,27,0
41,8,36,24,15,1
32,0,17,27,6,0
41,2,17,15,42,0
76,0,10,16,39,0
22,19,34,15,42,1
65,17,24,12,51,1
99,9,2,6,69,1
13,4,33,1,84,0
81,15,0,28,3,1
90,6,48,8,63,1
58,18,48,12,51,1
46,5,27,4,75,0
31,12,13,22,21,0
41,11,33,8,63,1
70,1,46,22,21,1
0,3,7,0,87,0
21,8,4,16,39,0
38,2,22,3,78,0
46,3,22,20,27,0
30,8,15,14,45,0
15,4,32,9,60,0
13,3,22,13,48,0
77,2,46,12,51,1
82,16,15,0,87,1
33,8,36,24,15,0
28,16,6,18,33,0
43,0,2,26,9,0
88,4,31,20,27,1
38,13,42,1,84,1
3,12,30,23,18,0
84,5,21,12,51,1
34,5,16,15,42,0
25,12,11,4,75,0
73,8,47,16,39,1
79,8,24,17,36,1
37,12,6,11,54,0
50,15,22,25,12,1
42,1,13,18,33,0
23,10,9,21,24,0
10,8,28,11,54,0
12,4,2,28,3,0
77,5,10,17,36,0
98,1,34,17,36,1
86,13,23,5,72,1
4,12,42,25,12,0
6,5,9,25,12,0
55,10,21,27,6,1
17,8,33,14,45,0
39,3,49,27,6,1
21,2,46,22,21,0
25,13,22,17,36,0
86,19,47,4,75,1
45,15,38,6,69,1
85,18,33,2,81,1
82,19,40,18,33,1
63,4,48,28,3,1
93,17,34,24,15,1
90,19,40,24,15,1
95,12,48,18,33,1
89,7,40,29,0,1
75,10,10,20,27,1
88,6,28,5,72,1
10,12,29,5,72,0
92,12,21,6,69,1
96,10,27,12,51,1
23,8,16,29,0,0
90,5,38,26,9,1
36,10,43,8,63,1
18,10,11,12,51,0
53,15,37,7,66,1
99,1,33,26,9,1
31,9,49,19,30,1
80,1,45,0,87,1
70,14,48,20,27,1
72,19,33,12,51,1
55,2,33,17,36,0
1,19,28,20,27,0
59,1,22,24,15,0
34,18,13,11,54,0
88,13,32,29,0,1
8,11,48,24,15,0
90,16,6,7,66,1
74,12,13,25,12,1
43,11,44,15,42,1
77,10,12,19,30,1
7,19,22,3,78,0
71,12,7,21,24,1
1,16,38,14,45,0
64,16,40,11,54,1
45,13,3,21,24,0
67,8,6,27,6,0
55,16,3,12,51,0
37,14,29,14,45,1
17,6,1,12,51,0
53,17,29,23,18,1
22,17,2,2,81,0
63,13,0,28,3,0
95,7,39,22,21,1
23,13,24,14,45,0
54,7,19,26,9,0
83,0,42,18,33,1
74,5,20,6,69,1
85,3,2,19,30,0
24,8,9,8,63,0
80,18,8,9,60,1
26,6,23,5,72,0
65,15,37,20,27,1
95,2,22,1,84,1
12,3,44,5,72,0
18,7,16,14,45,0
12,3,43,22,21,0
68,0,47,28,3,1
57,16,45,1,84,1
57,16,7,16,39,1
51,3,6,4,75,0
95,6,38,4,75,1
32,6,39,8,63,0
49,8,36,4,75,1
94,14,45,12,51,1
51,11,27,26,9,1
31,2,10,7,66,0
69,8,28,29,0,1
41,15,39,18,33,1
66,4,5,11,54,0
28,4,42,1,84,0
90,17,38,17,36,1
85,17,8,18,33,1
28,7,34,12,51,0
16,11,18,14,45,0
27,2,35,20,27,0
51,1,49,0,87,1
73,10,49,10,57,1
98,14,30,5,72,1
84,12,25,6,69,1
41,10,46,10,57,1
15,18,1,28,3,0
71,15,47,29,0,1
51,1,7,2,81,0
90,9,31,22,21,1
14,5,2,0,87,0
29,11,23,19,30,0
82,14,4,24,15,1
6,4,18,21,24,0
76,0,34,26,9,1
30,15,34,19,30,1
92,6,2,7,66,0
39,1,42,14,45,0
24,10,41,23,18,1
91,7,45,29,0,1
75,7,7,3,78,0
68,6,16,0,87,0
4,17,39,13,48,0
4,12,20,22,21,0
31,9,38,0,87,0
44,9,11,25,12,0
69,4,38,22,21,1
46,13,37,15,42,1
89,2,14,26,9,1
91,10,46,23,18,1
9,15,39,28,3,0
82,14,22,5,72,1
61,8,47,13,48,1
2,13,3,23,18,0
77,2,9,9,60,0
69,8,24,27,6,1
0,8,43,8,63,0
30,17,28,24,15,1
80,15,42,14,45,1
7,17,49,5,72,1
32,10,21,9,60,0
34,7,47,9,60,1
82,0,23,29,0,1
87,16,33,23,18,1
56,4,41,29,0,1
84,9,22,14,45,1
14,4,20,17,36,0
85,4,19,23,18,1
45,0,14,7,66,0
20,7,30,4,75,0
54,1,19,29,0,0
99,5,29,16,39,1
21,1,49,6,69,0
37,19,32,13,48,1
75,5,1,14,45,0
10,19,27,2,81,0
13,6,11,16,39,0
89,19,15,2,81,1
87,5,25,24,15,1
15,5,41,7,66,0
67,9,27,28,3,1
68,2,30,1,84,1
90,18,42,12,51,1
59,2,39,8,63,1
38,6,43,13,48,1
70,0,2,17,36,0
41,8,14,12,51,0
18,10,44,3,78,0
91,18,10,25,12,1
18,12,44,21,24,1
46,15,10,0,87,0
36,3,41,20,27,0
36,16,35,21,24,1
42,15,7,9,60,0
31,0,6,4,75,0
52,12,27,7,66,1
21,11,46,18,33,1
7,9,33,22,21,0
21,9,6,28,3,0
36,2,13,1,84,0
45,13,29,13,48,1
35,16,3,10,57,0
28,9,9,3,78,0
19,11,8,16,39,0
59,17,26,14,45,1
57,18,36,10,57,1
9,4,19,3,78,0
54,5,34,17,36,1
50,8,40,11,54,1
31,19,9,12,51,0
59,16,10,27,6,1
24,3,10,11,54,0
97,10,29,14,45,1
31,12,30,20,27,0
43,6,8,5,72,0
21,2,32,27,6,0
31,2,10,13,48,0
77,2,35,22,21,1
1,12,31,26,9,0
74,1,23,20,27,0
48,19,37,25,12,1
69,12,45,2,81,1
99,10,0,10,57,1
25,9,7,25,12,0
40,9,37,25,12,1
98,12,43,19,30,1
86,18,37,5,72,1
15,4,38,3,78,0
88,6,27,1,84,1
44,14,25,23,18,1
51,5,41,9,60,1
11,8,31,1,84,0
43,14,47,23,18,1
8,17,29,11,54,0
98,4,1,22,21,0
9,14,3,23,18,0
69,2,20,24,15,0
54,10,12,5,72,0
54,1,46,13,48,1
71,5,45,12,51,1
14,10,22,27,6,0
43,0,21,29,0,0
25,17,8,29,0,0
41,13,20,2,81,0
12,8,39,26,9,0
88,5,9,8,63,1
17,7,30,22,21,0
65,13,41,27,6,1
54,19,44,17,36,1
76,6,34,3,78,1
21,6,20,0,87,0
24,11,12,27,6,0
54,3,6,20,27,0
88,16,22,22,21,1
51,6,20,25,12,0
31,5,2,12,51,0
4,2,47,15,42,0
83,5,1,17,36,0
63,12,16,8,63,1
11,10,36,2,81,0
67,17,3,7,66,1
87,2,20,29,0,1
58,4,18,13,48,0
80,1,33,22,21,1
54,1,43,1,84,1
36,17,37,17,36,1
40,12,35,25,12,1
40,0,4,6,69,0
58,16,46,0,87,1
52,17,0,21,24,0
33,17,24,17,36,1
81,6,32,8,63,1
24,11,7,25,12,0
94,10,14,15,42,1
28,0,28,3,78,0
81,14,4,15,42,1
49,15,37,20,27,1
69,18,12,27,6,1
91,16,46,12,51,1
15,4,20,0,87,0
12,6,14,8,63,0
1,5,28,24,15,0
81,4,37,12,51,1
19,4,24,26,9,0
4,7,5,22,21,0
98,10,10,4,75,1
80,18,46,28,3,1
68,19,3,20,27,1
70,8,45,1,84,1
29,1,11,8,63,0
22,2,41,15,42,0
60,17,43,17,36,1
98,16,5,10,57,1
78,12,18,20,27,1
76,4,45,5,72,1
8,5,49,21,24,0
33,11,45,9,60,1
22,7,39,14,45,0
67,12,4,20,27,0
99,17,17,0,87,1
46,9,4,19,30,0
99,11,25,6,69,1
61,18,21,29,0,1
3,3,24,24,15,0
86,8,49,23,18,1
34,18,44,25,12,1
62,3,39,6,69,1
31,19,34,20,27,1
87,11,12,1,84,1
78,9,12,24,15,1
63,14,37,16,39,1
44,12,31,14,45,1
29,12,17,9,60,0
69,19,49,18,33,1
75,8,28,15,42,1
73,12,1,7,66,0
23,18,41,6,69,1
6,2,18,14,45,0
30,4,18,18,33,0
99,1,16,28,3,1
5,4,10,12,51,0
5,9,36,16,39,0
50,18,47,20,27,1
72,16,14,4,75,1
56,1,26,9,60,0
40,4,8,16,39,0
82,18,22,3,78,1
32,16,25,6,69,1
91,11,5,15,42,1
53,16,15,4,75,1
20,1,39,6,69,0
68,1,17,1,84,0
11,7,21,24,15,0
48,0,11,24,15,0
67,7,15,4,75,0
34,13,47,6,69,1
31,7,23,26,9,0
38,13,41,16,39,1
44,0,45,16,39,0
92,3,6,11,54,0
37,1,16,26,9,0
17,9,14,19,30,0
62,5,34,3,78,1
46,2,23,23,18,0
78,1,8,19,30,0
7,3,36,20,27,0
59,0,17,25,12,0
69,2,18,20,27,0
91,7,47,24,15,1
18,14,15,21,24,0
6,17,42,21,24,1
14,17,20,5,72,0
